**** BEGIN LOGGING AT Wed May  4 19:29:27 2005

May 04 19:29:27 *	Now talking on #evolution-meet
May 04 20:52:42 harish	thank you guys.. see you next week and hopefully we have concurred on the timing then
May 04 20:52:44 tml	dhm_home: #171940
May 04 20:52:49 harish	thanks all
May 04 20:53:00 partha	yea.
May 04 20:53:05 nags_	bye
May 04 20:53:07 tml	bye all
May 04 20:53:07 ghj	thanks harish. Bye
May 04 20:53:18 harish	bye
May 04 20:53:25 rodo	bye
May 04 20:53:27 shaheed_	bye all
May 04 20:53:31 jpr	bye
May 04 20:53:31 *	fejj_ (~fejj@c-66-30-106-142.hsd1.ma.comcast.net) has left #evolution-meet
May 04 20:53:32 *	jpr (~jpr@202.144.86.147) has left #evolution-meet
May 04 20:53:34 surf	bye
May 04 20:53:34 chen	bye all
May 04 20:53:37 uneumann	bye
May 04 20:53:39 *	nags_ (~nags@202.144.86.147) has left #evolution-meet
May 04 20:53:40 *	surf (~surf@202.144.86.147) has left #evolution-meet
May 04 20:53:43 dhm_home	tml: thanks!
May 04 20:53:49 *	andre_ (~y0020796@rzlx0006.rz.tu-bs.de) has left #evolution-meet
May 04 20:53:51 *	shaheed_ (~shaheed@202.144.86.147) has left #evolution-meet
May 04 20:53:53 *	sush (~Sushma@202.144.86.147) has left #evolution-meet
May 04 20:54:01 *	rodrigo (~rodrigo@202.144.86.147) has left #evolution-meet
May 04 20:54:04 *	rodo (~rodo@202.144.86.147) has left #evolution-meet
May 04 20:54:11 *	haip (~haip@221.217.24.152) has left #evolution-meet
May 04 20:54:15 *	tml (~tml@MMCCCXLIII.tun.saunalahti.fi) has left #evolution-meet
May 04 20:54:18 *	uneumann (~uli@213.83.32.16) has left #evolution-meet
May 04 20:54:19 *	ghj has quit (Leaving)
May 04 20:54:30 *	chen is now known as chen_home
May 04 20:54:34 *	dhm_home (~david@c-66-30-211-145.hsd1.ma.comcast.net) has left #evolution-meet
May 04 20:54:37 shres	Bye people
May 04 20:54:40 *	shres (~shreyas@202.144.86.147) has left #evolution-meet
May 04 20:55:24 *	gekker (~gekker@camus.provo.novell.com) has left #evolution-meet
May 04 20:55:48 *	NotZed (~notzed@202.144.86.147) has left #evolution-meet
May 04 20:56:29 *	guenther (~guenther@IP-213188108016.dialin.heagmedianet.de) has left #evolution-meet
May 04 20:56:37 *	seb128 (~seb128@ANancy-151-1-32-67.w83-196.abo.wanadoo.fr) has left #evolution-meet
May 04 20:58:05 *	partha (~partha@202.144.86.147) has left #evolution-meet
May 04 21:00:55 varadhan	Bye every1
May 04 21:01:05 *	varadhan (~varadhan@202.144.86.147) has left #evolution-meet
May 04 21:01:06 *	You are now known as harish_home
May 05 08:39:55 *	Nat (~Nat_@c-24-34-186-89.hsd1.ma.comcast.net) has left #evolution-meet
May 05 08:40:01 *	Disconnected (Connection reset by peer).
**** ENDING LOGGING AT Thu May  5 08:40:01 2005

**** BEGIN LOGGING AT Thu May  5 08:40:55 2005

May 05 08:40:55 *	Now talking on #evolution-meet
May 05 09:35:45 *	You are now known as harish
